decimalLatitude,decimalLongitude,species,speciesKey,occurrenceStatus
-33.92212,150.971745,Litoria fallax,2427671.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Litoria peronii,2427831.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.838673,151.069184,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.617786,150.91293,Crinia signifera,2424585.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Crinia signifera,2424585.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.826341,151.052399,Ranoidea aurea,10595763.0,1
-33.82804,151.058691,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Crinia signifera,2424585.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.826341,151.052399,Limnodynastes peronii,2429583.0,1
-33.838209,151.07024,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.825116,151.057392,Litoria peronii,2427831.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.840416,151.07044,Limnodynastes tasmaniensis,2429578.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.839198,151.071667,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.617786,150.91293,Litoria latopalmata,2427754.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.825116,151.057392,Ranoidea aurea,10595763.0,1
-33.839198,151.071667,Limnodynastes peronii,2429583.0,1
-33.839198,151.071667,Litoria peronii,2427831.0,1
-33.839198,151.071667,Litoria fallax,2427671.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.838575,151.071142,Crinia signifera,2424585.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Limnodynastes tasmaniensis,2429578.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.838575,151.071142,Litoria peronii,2427831.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.825116,151.057392,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.841667,151.072987,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.825116,151.057392,Litoria fallax,2427671.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.825116,151.057392,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.826341,151.052399,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Litoria peronii,2427831.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.824979,151.066217,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Crinia signifera,2424585.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.84248,151.073647,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.824979,151.066217,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.825116,151.057392,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Crinia signifera,2424585.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.825116,151.057392,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.826341,151.052399,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.838575,151.071142,Litoria peronii,2427831.0,1
-33.842898,151.072382,Ranoidea aurea,10595763.0,1
-33.839198,151.071667,Litoria fallax,2427671.0,1
-33.841667,151.072987,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.838748,151.068994,Ranoidea aurea,10595763.0,1
-33.842344,151.071796,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.840416,151.07044,Limnodynastes peronii,2429583.0,1
-33.824979,151.066217,Litoria peronii,2427831.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.836398,151.059792,Litoria fallax,2427671.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.838575,151.071142,Litoria peronii,2427831.0,1
-33.840416,151.07044,Crinia signifera,2424585.0,1
-33.838575,151.071142,Ranoidea aurea,10595763.0,1
-33.838575,151.071142,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Litoria peronii,2427831.0,1
-33.838575,151.071142,Litoria fallax,2427671.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.825116,151.057392,Litoria peronii,2427831.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.841667,151.072987,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.840416,151.07044,Litoria fallax,2427671.0,1
-33.840416,151.07044,Litoria peronii,2427831.0,1
-33.839198,151.071667,Limnodynastes peronii,2429583.0,1
-33.840416,151.07044,Ranoidea aurea,10595763.0,1
-33.836398,151.059792,Limnodynastes peronii,2429583.0,1
-33.836398,151.059792,Ranoidea aurea,10595763.0,1
