eventDate,decimalLatitude,decimalLongitude,occurrenceStatus,geometry
2021-01-10T13:00:00,-33.640336,150.687247,1,POINT (150.687247 -33.640336)
2021-02-01T10:24:11,-33.60924,150.748344,1,POINT (150.748344 -33.60924)
2021-02-17T20:06:00,-33.68743,150.708166,1,POINT (150.708166 -33.68743)
2021-04-03T21:07:40,-33.567792,150.790437,1,POINT (150.790437 -33.567792)
2021-07-05T15:14:39,-33.629142,150.713045,1,POINT (150.713045 -33.629142)
2021-11-22T09:03:58,-33.612433,150.748625,1,POINT (150.748625 -33.612433)
2021-11-26T01:18:01,-33.56581,150.772983,1,POINT (150.772983 -33.56581)
2021-11-23T21:12:00,-33.585573,150.718234,1,POINT (150.718234 -33.585573)
2020-02-01T23:15:00,-33.569128,150.625032,1,POINT (150.625032 -33.569128)
2020-02-01T22:44:43,-33.57632,150.627183,1,POINT (150.627183 -33.57632)
2020-02-01T03:24:00,-33.569143,150.625033,1,POINT (150.625033 -33.569143)
2020-02-02T20:55:00,-33.569105,150.6249,1,POINT (150.6249 -33.569105)
2020-02-02T20:58:00,-33.569105,150.6249,1,POINT (150.6249 -33.569105)
2020-02-01T03:24:00,-33.569144,150.625031,1,POINT (150.625031 -33.569144)
2020-04-14T10:00:18,-33.660688,150.740692,1,POINT (150.740692 -33.660688)
2020-04-02T21:24:00,-33.5,150.7,1,POINT (150.7 -33.5)
2020-09-19T22:58:00,-33.6,150.8,1,POINT (150.8 -33.6)
2020-09-19T20:48:00,-33.6,150.8,1,POINT (150.8 -33.6)
2020-09-19T23:01:00,-33.6,150.8,1,POINT (150.8 -33.6)
2020-09-19T22:58:00,-33.6,150.8,1,POINT (150.8 -33.6)
2020-11-12T08:07:32,-33.481819,150.650231,1,POINT (150.650231 -33.481819)
2020-12-08T00:00:00,-33.557759,150.749367,1,POINT (150.749367 -33.557759)
2020-12-07T00:00:00,-33.553442,150.749953,1,POINT (150.749953 -33.553442)
2020-12-10T00:00:00,-33.555895,150.753486,1,POINT (150.753486 -33.555895)
2020-12-08T00:00:00,-33.55922,150.755845,1,POINT (150.755845 -33.55922)
2020-12-09T00:00:00,-33.555895,150.753486,1,POINT (150.753486 -33.555895)
2020-12-08T00:00:00,-33.557759,150.749367,1,POINT (150.749367 -33.557759)
2020-12-08T00:00:00,-33.55922,150.755845,1,POINT (150.755845 -33.55922)
2020-12-10T00:00:00,-33.555895,150.753486,1,POINT (150.753486 -33.555895)
2020-12-07T00:00:00,-33.55922,150.755845,1,POINT (150.755845 -33.55922)
2020-12-09T00:00:00,-33.555895,150.753486,1,POINT (150.753486 -33.555895)
2020-12-08T00:00:00,-33.553442,150.749953,1,POINT (150.749953 -33.553442)
2020-12-07T00:00:00,-33.557759,150.749367,1,POINT (150.749367 -33.557759)
2020-12-10T00:00:00,-33.554349,150.741831,1,POINT (150.741831 -33.554349)
2020-12-09T00:00:00,-33.554349,150.741831,1,POINT (150.741831 -33.554349)
2020-12-09T00:00:00,-33.555895,150.753486,1,POINT (150.753486 -33.555895)
2020-12-10T00:00:00,-33.555895,150.753486,1,POINT (150.753486 -33.555895)
2020-12-07T00:00:00,-33.553442,150.749953,1,POINT (150.749953 -33.553442)
2020-12-07T00:00:00,-33.55922,150.755845,1,POINT (150.755845 -33.55922)
2019-01-28T14:23:00,-33.5,150.7,1,POINT (150.7 -33.5)
2019-01-28T14:13:00,-33.5,150.7,1,POINT (150.7 -33.5)
2019-01-21T17:26:00,-33.5,150.7,1,POINT (150.7 -33.5)
2019-01-28T14:14:00,-33.5,150.7,1,POINT (150.7 -33.5)
2019-01-08T00:00:00,-33.532377,150.739073,1,POINT (150.739073 -33.532377)
2019-01-08T00:00:00,-33.500513,150.732802,1,POINT (150.732802 -33.500513)
2019-01-27T00:00:00,-33.6799,150.754,1,POINT (150.754 -33.6799)
