gbifID,eventDate,decimalLatitude,decimalLongitude,species,country,key,landcover,elevation,gradient,change,extent,occurrence,recurrence,seasonality,transitions,B04,B03,B02,B08,tmax_max,tmax_mean,tmin_min,tmin_mean,ppt_mean,soil_mean
1070752429,2004-09-30 00:00:00,-33.641367,150.697093,Crinia Signifera,Australia,0,2.0,29.192699432373047,7.829286723565662,253.0,0.0,0.0,0.0,0.0,0.0,683.0,661.0,544.0,1900.5,32.700005,24.691671,2.2999992,11.318334,59.716667,31.7
1100421676,1996-01-18 00:00:00,-33.60444,150.33666,Crinia Signifera,Australia,1,6.0,935.0899047851562,19.273851479553894,253.0,0.0,0.0,0.0,0.0,0.0,760.5,618.0,616.5,1111.5,28.900002,20.013334,1.1000023,8.436668,83.95,57.1
1067069462,1995-02-11 00:00:00,-33.721374,150.352767,Crinia Signifera,Australia,2,3.0,885.2036743164062,6.5447998046875,253.0,0.0,0.0,0.0,0.0,0.0,1246.0,1014.0,854.0,2272.0,28.900002,20.115,1.2000008,8.536668,84.833336,60.883335
1069703181,2000-12-07 00:00:00,-33.739101,150.602588,Crinia Signifera,Australia,3,2.0,234.3245391845703,7.407430674801691,253.0,0.0,0.0,0.0,0.0,0.0,565.5,570.5,456.5,2213.5,31.5,23.655003,2.5,10.508335,71.48333,37.916668
1452699828,2011-02-19 00:00:00,-33.702075,150.715176,Crinia Signifera,Australia,4,6.0,45.872352600097656,3.0989563405795626,253.0,0.0,0.0,0.0,0.0,0.0,1008.0,891.0,754.0,1800.5,32.800003,24.71667,2.6000023,11.606668,60.916668,33.55
3108870721,2018-03-26 00:00:00,-33.555484,150.422755,Crinia Signifera,Australia,5,2.0,1023.9189453125,0.9979089624856453,253.0,0.0,0.0,0.0,0.0,0.0,479.0,535.0,450.0,2213.0,29.0,20.403334,1.2999992,8.615002,89.6,51.966667
1070876754,2013-01-03 00:00:00,-33.739542,150.447407,Crinia Signifera,Australia,6,2.0,581.1541748046875,1.867076958542465,253.0,0.0,0.0,0.0,0.0,0.0,766.0,683.0,468.5,2145.0,29.0,20.50667,1.4000015,8.650001,87.316666,55.15
1069659078,1998-07-15 00:00:00,-33.714773,150.318447,Crinia Signifera,Australia,7,7.0,976.3694458007812,17.001490239161356,253.0,0.0,0.0,0.0,0.0,0.0,1191.0,1184.5,1029.0,2288.0,28.800003,19.863335,1.1000023,8.346668,84.51667,64.28333
3108946350,2018-12-04 00:00:00,-33.725861,150.329699,Crinia Signifera,Australia,8,7.0,938.8779296875,29.158935546874996,253.0,0.0,0.0,0.0,0.0,0.0,653.0,850.5,640.0,2409.0,28.800003,19.863335,1.1000023,8.346668,84.51667,64.28333
1100421498,1996-10-01 00:00:00,-33.73888,150.46111,Crinia Signifera,Australia,9,2.0,601.9783935546875,13.272299844994837,253.0,0.0,0.0,0.0,0.0,0.0,438.0,414.0,346.0,1580.5,29.599998,21.189999,1.7000008,9.005002,85.46667,48.55
2960478870,2018-10-23 00:00:00,-33.7078,150.292,Crinia Signifera,Australia,10,2.0,1023.7459716796875,12.105353889477417,253.0,0.0,0.0,0.0,0.0,0.0,561.0,555.5,495.0,1462.5,27.200005,18.200003,0.9000015,7.873335,96.98333,79.666664
1071697808,2002-03-01 00:00:00,-33.597254,150.681943,Crinia Signifera,Australia,11,7.0,40.37547302246094,12.845312184048552,253.0,0.0,0.0,0.0,0.0,0.0,1321.5,1062.5,777.0,2618.5,32.700005,24.696669,2.4000015,11.318335,59.75,30.616667
2556831897,2018-07-19 00:00:00,-33.526359,150.704863,Crinia Signifera,Australia,12,7.0,93.71765899658203,6.6135380209233094,253.0,0.0,0.0,0.0,0.0,0.0,960.0,877.0,716.0,1871.0,32.200005,24.186668,2.5,10.926668,64.666664,31.8
2960443166,2019-01-06 00:00:00,-33.691139,150.371433,Crinia Signifera,Australia,13,7.0,862.5755615234375,49.27496630516545,253.0,0.0,0.0,0.0,0.0,0.0,1122.0,1104.0,1021.0,2028.0,27.900002,19.001669,1.0,8.096667,93.333336,69.13333
1100421667,1996-01-18 00:00:00,-33.61333,150.32888,Crinia Signifera,Australia,14,6.0,980.8119506835938,6.336544258284063,253.0,0.0,0.0,0.0,0.0,0.0,660.5,592.5,607.0,850.0,27.400002,18.450003,0.9000015,7.941668,90.166664,70.26667
1067067903,1994-02-13 00:00:00,-33.646335,150.607859,Crinia Signifera,Australia,15,2.0,235.31980895996094,16.40939763399237,253.0,0.0,0.0,0.0,0.0,0.0,391.5,453.0,373.0,2018.0,31.099998,23.178335,2.4000015,10.226667,76.316666,38.433334
1067068307,1995-01-02 00:00:00,-33.467847,150.47346,Crinia Signifera,Australia,16,2.0,785.1864013671875,6.208423693021382,253.0,0.0,0.0,0.0,0.0,0.0,380.0,407.0,289.0,1822.0,29.300003,20.77,1.2999992,8.741669,90.166664,45.433334
2960489636,2019-09-22 00:00:00,-33.709442,150.598453,Crinia Signifera,Australia,17,7.0,198.14646911621094,29.100378806812827,253.0,0.0,0.0,0.0,0.0,0.0,638.5,573.5,454.0,2064.5,31.5,23.655003,2.5,10.508335,71.48333,37.916668
3108888707,2018-06-06 00:00:00,-33.682935,150.676299,Crinia Signifera,Australia,18,6.0,16.298519134521484,2.131266637289793,253.0,0.0,0.0,0.0,0.0,0.0,1267.0,1097.5,903.0,2388.0,32.9,24.83,2.6000023,11.555002,59.866665,31.983334
3108885958,2018-11-17 00:00:00,-33.697052,150.542446,Crinia Signifera,Australia,19,7.0,423.73858642578125,21.612028487687432,253.0,0.0,0.0,0.0,0.0,0.0,1092.5,885.0,735.5,2368.5,30.800003,22.72167,2.2000008,9.871669,78.96667,40.8
1069653519,2012-11-23 00:00:00,-33.390259,150.26443,Crinia Signifera,Australia,20,6.0,1040.8065185546875,7.001720544977173,253.0,0.0,0.0,0.0,0.0,0.0,705.0,660.0,487.0,1927.0,27.400002,18.258335,0.29999924,7.2466683,77.38333,56.383335
1100436837,2001-02-10 00:00:00,-33.5,150.5,Crinia Signifera,Australia,21,7.0,639.3126220703125,4.659500146430209,253.0,0.0,0.0,0.0,0.0,0.0,800.0,666.0,494.0,2007.0,30.200005,21.771667,1.7000008,9.276669,87.03333,41.05
1071708208,2002-07-26 00:00:00,-33.717029,150.297879,Crinia Signifera,Australia,22,7.0,1009.4447631835938,42.69173932373694,253.0,0.0,0.0,0.0,0.0,0.0,623.5,723.0,619.0,1995.0,28.800003,19.863335,1.1000023,8.346668,84.51667,64.28333
